AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
22.51,0.43,1,0.0726,11.18,0.52,35,1043,10.996
6.81,0.59,1,0.0114,6.01,0.37,41.8,1210,3.233
324.54,0.392,0.987,0.0613,50.74,0.63,42.3,1507,200.433
56.9,0.549,0.987,0.0321,19.07,0.47,48.1,1428,30.143501
20.16,0.446,1,0.0231,8.56,0.5,38.8,1195,18.885
153.94,0.395,0.82,0.0187,23.28,0.72,44.6,1496,54.1245
13.66,0.336,0.98,0.0236,6.69,0.53,61.7,1720,15.25
157.63,0.59,0.993,0.0769,48.2,0.64,32.4,940,31.315
118.07,0.316,0.996,0.0203,23,0.59,41.2,943,48.41
481.29,0.474,0.987,0.0777,60.21,0.26,27.7,583,29.561
78.06,0.575,0.973,0.0113,16.32,0.5,45.4,1342,16.211
228.81,0.528,0.971,0.1386,40.16,0.31,28.8,635,7.979
225.76,0.591,0.99,0.048,52.04,0.41,35,917,21.8545
138.5,0.399,0.67,0.0345,26.2,0.77,57.2,2207,39.128
540.69,0.451,0.989,0.0257,64.94,0.63,39.9,1108,224.352
153.39,0.564,0.987,0.1214,24.45,0.34,30.3,712,14.5875
59.03,0.558,0.996,0.2478,16.09,0.26,11.3,615,6.147
22.17,0.392,0.78,0.0113,10.46,0.72,46.2,1699,19.1
327.81,0.949,0.949,0.0513,50.5,0.34,34.8,834,9.363
912.58,0.42,0.981,0.0674,102.47,0.41,41.8,1120,274.979
545.59,0.547,0.974,0.037,53.12,0.57,52.2,1478,344.946
53.88,0.461,1,0.0375,14.1,0.54,43.8,1316,19.135
170.88,0.914,0.979,0.0675,32.06,0.35,35.2,860,7.139
174.54,0.491,0.99,0.0462,41.16,0.62,45.3,1445,92.773
308.72,0.609,0.992,0.1039,40.66,0.4,34.5,800,40.417
140.83,0.44,0.993,0.0549,20.19,0.71,55.4,1630,228.4035
22.91,0.463,0.982,0.0224,13.27,0.45,45,1512,8.133
96.37,0.518,0.995,0.0371,27.54,0.51,35,958,14.189
446.28,0.367,0.997,0.0906,74.61,0.61,43.2,1343,219.07199
361.6,0.79,0.951,0.075,70.6,0.33,33.7,744,11.3
73.53,0.422,0.934,0.1065,18.71,0.52,37.9,947,14.18
117.54,0.333,0.814,0.0479,23.51,0.83,51,2203,85.372
165.09,0.353,0.925,0.0566,28.16,0.48,38.1,870,67.1785
222.82,0.413,0.994,0.0684,41.22,0.26,28.7,589,16.642
456.97,0.614,0.992,0.0432,52.06,0.42,33.7,830,50.18
46.12,0.412,0.862,0.0655,18.73,0.54,62.9,2153,20.353
11.34,0.411,1,0.0066,5.59,0.5,37.7,1188,12.329
261.94,0.615,0.981,0.2212,49.1,0.34,29,693,14.068
183.23,0.496,0.972,0.0714,25.89,0.71,55.7,1787,124.519
298.73,0.5,0.997,0.0315,52.53,0.56,51,1551,177.49051
101.8,0.637,0.999,0.0614,21.02,0.26,28.3,579,4.032
680.84,0.547,0.996,0.0923,57.82,0.35,32.4,824,84.218
1.63,0.196,1,0.0736,2.21,0.62,39.2,1096,1.7865
741.79,0.458,0.964,0.0624,78.16,0.6,39.5,1224,196.355
815.36,0.416,0.93,0.0576,118.52,0.41,40.2,1130,203.5645
8.15,0.309,1,0.0133,5.22,0.34,37.7,855,4.6099997
186.31,0.44,0.96,0.1043,29.69,0.53,38.7,968,35.263
102.37,0.554,0.986,0.0299,32.97,0.47,53.3,1549,64.659
1064.02,0.664,0.988,0.1124,106.4,0.35,35.5,861,114.852
232.84,0.427,0.998,0.0381,30.34,0.54,44,1130,137.516
7.93,0.403,1,0.0075,6.17,0.52,41.6,1346,4.7
440.5,0.355,0.997,0.0441,48.28,0.64,36.3,1367,279.439
145.91,0.452,0.997,0.0294,33.94,0.64,35.9,1048,59.8715
40.83,0.617,0.999,0.0254,10.79,0.45,34.6,1046,14.023
274.99,0.681,0.942,0.1991,34.06,0.31,28.1,620,7.813
48.05,0.325,0.974,0.0482,14.87,0.71,68.9,2507,66.609
18.84,0.341,1,0.0094,10.2,0.4,36,987,9.2
167.21,0.522,0.985,0.035,37.65,0.46,44.3,1435,49.191498
249.75,0.523,0.995,0.0359,38.72,0.47,63.1,1771,234.524
32.47,0.415,1,0.0182,10.73,0.71,47.8,1756,22.9025
95.66,0.698,0.96,0.1004,26.71,0.34,29.7,739,5.23
72.57,0.373,0.997,0.0251,18.4,0.52,39.1,1160,43.99
1699.42,0.422,0.959,0.0643,120.26,0.59,36.2,1139,376.597
298.98,0.561,0.992,0.164,46.75,0.61,36.3,1116,61.718002
304.23,0.454,0.992,0.1121,46.99,0.55,36.3,1225,112.373505
510.17,0.321,0.912,0.0345,55.01,0.6,43.4,1310,259.9165
173.1,0.508,0.991,0.0756,30.43,0.42,32,757,22.653
237.26,0.408,0.846,0.0627,30.65,0.64,66.4,2238,104.6155
72.78,0.448,0.992,0.0595,18.3,0.31,28.1,591,8.753
42.69,0.615,0.909,0.0165,11.99,0.42,39,1148,8.922
345.99,0.395,0.994,0.0359,49.21,0.45,34.3,905,129.6655
50.32,0.44,1,0.065,20.74,0.28,25.6,589,4.938
227.46,0.407,0.996,0.0504,39.92,0.62,58,1890,249.889
120.87,0.289,0.895,0.0736,30.28,0.6,32.8,1090,50.021
985.37,0.404,0.997,0.0689,74.98,0.64,50.5,1521,623.318
72.9,0.363,0.73,0.0518,18.99,0.71,61.5,2147,18.921
495.37,0.405,0.994,0.035,61.01,0.61,44.6,1423,354.5665
172.96,0.355,0.94,0.0233,19.74,0.57,44.3,1357,82.9615
197.8,0.56,0.996,0.0444,30.52,0.44,42.5,1276,56.04
99.34,0.559,0.98,0.073,17.89,0.34,32.7,724,15.001
132.65,0.368,0.986,0.0627,22.55,0.3,31.6,661,13.775
113.44,0.592,0.888,0.0418,23.68,0.49,37.2,859,19.113499
166.3,0.495,0.888,0.1621,47.03,0.6,35.5,1332,24.558498
7.98,0.774,0.99,0.1253,6.22,0.4,31.2,722,1.309
59.4,0.88,0.987,0.1057,23.89,0.3,31.6,698,1.718
102.4,0.488,0.982,0.0719,31.08,0.62,39.9,1106,35.726
165.21,0.952,1,0.0561,47.3,0.34,32.4,768,2.23
913.2,0.597,0.98,0.0445,94.4,0.56,50.2,1367,400.5975
44.58,0.417,0.74,0.0321,16.23,0.71,68.6,2542,33.308502
